	022um-Control_R1_filtered.fastq.gz	20210602-MA-ABB1F_R1_filtered.fastq.gz	20210602-MA-ABB1P_R1_filtered.fastq.gz	20210602-MA-ABB1W_R1_filtered.fastq.gz	20210602-MA-ABS1F_R1_filtered.fastq.gz	20210602-MA-ABS1P_R1_filtered.fastq.gz	20210602-MA-ABS1W_R1_filtered.fastq.gz	20210602-MA-CEB1F_R1_filtered.fastq.gz	20210602-MA-CEB1P_R1_filtered.fastq.gz	20210602-MA-CEB1W_R1_filtered.fastq.gz	20210602-MA-CES1F_R1_filtered.fastq.gz	20210602-MA-CES1P_R1_filtered.fastq.gz	20210602-MA-CES1W_R1_filtered.fastq.gz	20210602-MA-CWB1F_R1_filtered.fastq.gz	20210602-MA-CWB1P_R1_filtered.fastq.gz	20210602-MA-CWB1W_R1_filtered.fastq.gz	20210602-MA-CWS1F_R1_filtered.fastq.gz	20210602-MA-CWS1P_R1_filtered.fastq.gz	20210602-MA-CWS1W_R1_filtered.fastq.gz	20210602-MA-MBB1F_R1_filtered.fastq.gz	20210602-MA-MBB1P_R1_filtered.fastq.gz	20210602-MA-MBB1W_R1_filtered.fastq.gz	20210602-MA-MBS1F_R1_filtered.fastq.gz	20210602-MA-MBS1P_R1_filtered.fastq.gz	20210602-MA-MBS1W_R1_filtered.fastq.gz	20210602-MA-SCB1F_R1_filtered.fastq.gz	20210602-MA-SCB1P_R1_filtered.fastq.gz	20210602-MA-SCB1W_R1_filtered.fastq.gz	20210602-MA-SCS1F_R1_filtered.fastq.gz	20210602-MA-SCS1P_R1_filtered.fastq.gz	20210602-MA-SCS1W_R1_filtered.fastq.gz	20210615-MA-ABB2F_R1_filtered.fastq.gz	20210615-MA-ABB2P_R1_filtered.fastq.gz	20210615-MA-ABB2W_R1_filtered.fastq.gz	20210615-MA-ABS1F_R1_filtered.fastq.gz	20210615-MA-ABS1P_R1_filtered.fastq.gz	20210615-MA-ABS1W_R1_filtered.fastq.gz	20210615-MA-CEB1F_R1_filtered.fastq.gz	20210615-MA-CEB1P_R1_filtered.fastq.gz	20210615-MA-CEB1W_R1_filtered.fastq.gz	20210615-MA-CES1F_R1_filtered.fastq.gz	20210615-MA-CES1P_R1_filtered.fastq.gz	20210615-MA-CES1W_R1_filtered.fastq.gz	20210615-MA-CWB1F_R1_filtered.fastq.gz	20210615-MA-CWB1P_R1_filtered.fastq.gz	20210615-MA-CWB1W_R1_filtered.fastq.gz	20210615-MA-CWS1F_R1_filtered.fastq.gz	20210615-MA-CWS1P_R1_filtered.fastq.gz	20210615-MA-CWS1W_R1_filtered.fastq.gz	20210615-MA-MBB1F_R1_filtered.fastq.gz	20210615-MA-MBB1P_R1_filtered.fastq.gz	20210615-MA-MBB1W_R1_filtered.fastq.gz	20210615-MA-MBS1F_R1_filtered.fastq.gz	20210615-MA-MBS1P_R1_filtered.fastq.gz	20210615-MA-MBS1W_R1_filtered.fastq.gz	20210615-MA-SCB2F_R1_filtered.fastq.gz	20210615-MA-SCB2P_R1_filtered.fastq.gz	20210615-MA-SCB2W_R1_filtered.fastq.gz	20210615-MA-SCS2F_R1_filtered.fastq.gz	20210615-MA-SCS2P_R1_filtered.fastq.gz	20210615-MA-SCS2W_R1_filtered.fastq.gz	20211005-MA-ABB2F_R1_filtered.fastq.gz	20211005-MA-ABB2P_R1_filtered.fastq.gz	20211005-MA-ABB2W_R1_filtered.fastq.gz	20211005-MA-ABS1F_R1_filtered.fastq.gz	20211005-MA-ABS1P_R1_filtered.fastq.gz	20211005-MA-ABS1W_R1_filtered.fastq.gz	20211005-MA-CEB1F_R1_filtered.fastq.gz	20211005-MA-CEB1P_R1_filtered.fastq.gz	20211005-MA-CEB1W_R1_filtered.fastq.gz	20211005-MA-CES2F_R1_filtered.fastq.gz	20211005-MA-CES2P_R1_filtered.fastq.gz	20211005-MA-CES2W_R1_filtered.fastq.gz	20211005-MA-CWB1F_R1_filtered.fastq.gz	20211005-MA-CWB1P_R1_filtered.fastq.gz	20211005-MA-CWB1W_R1_filtered.fastq.gz	20211005-MA-CWS1F_R1_filtered.fastq.gz	20211005-MA-CWS1P_R1_filtered.fastq.gz	20211005-MA-CWS1W_R1_filtered.fastq.gz	20211005-MA-MBB1F_R1_filtered.fastq.gz	20211005-MA-MBB1P_R1_filtered.fastq.gz	20211005-MA-MBB1W_R1_filtered.fastq.gz	20211005-MA-MBS1F_R1_filtered.fastq.gz	20211005-MA-MBS1P_R1_filtered.fastq.gz	20211005-MA-MBS1W_R1_filtered.fastq.gz	20211005-MA-SCB1F_R1_filtered.fastq.gz	20211005-MA-SCB1P_R1_filtered.fastq.gz	20211005-MA-SCB1W_R1_filtered.fastq.gz	20211005-MA-SCS2F_R1_filtered.fastq.gz	20211005-MA-SCS2P_R1_filtered.fastq.gz	20211005-MA-SCS2W_R1_filtered.fastq.gz	3um-Control_R1_filtered.fastq.gz	DNA-Ext-Control_R1_filtered.fastq.gz	MockZymoPos_R1_filtered.fastq.gz	WaterControl_R1_filtered.fastq.gz
ASV_304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	23	0	0	15	0	0	91	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0
ASV_306	0	0	17	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	21	4	0	32	6	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	12	5	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
ASV_307	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	16	37	0	21	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_308	0	0	0	4	5	0	0	6	0	8	0	0	2	5	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	2	5	9	7	16	11	0	0	6	9	0	8	0	6	0	0	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_309	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	7	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	19	0	0	5	0	0	0	0	0
ASV_310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	31	0	0	0	0	0	16	0	0	35	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	11	0	0	0	0	0	0	0
ASV_311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	35	3	0	0	0	0	83	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
ASV_312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	20	0	11	12	0	26	16	0	0	0	0	0	0	0	0	0	0	15	0	10	9	12	0	0	0	0	0	0	0	0	0	0
ASV_314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0
ASV_315	0	0	0	0	0	0	0	5	0	0	10	4	7	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	2	0	0	2	6	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	7	15	0	0	0	8	3	11	0	4	5	0	0	0	0	0	0	7	6	4	7	7	0	0	3	0	0	0	0	0	0	0
ASV_316	0	0	0	0	0	0	0	0	0	0	21	0	12	0	8	7	0	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	4	0	13	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	11	0	9	8	6	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_317	0	0	0	13	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	9	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_318	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	19	14	6	15	0	0	6	0	0	0	0	0	0	0	0	0	0	5	5	3	0	8	0	0	6	0	0	0	0	5	24	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	5	0	0	0	0	0	0	0
ASV_319	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	7	0	5	0	6	11	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	10	6	7	8	11	7	9	0	5	0	0	0	0	0	0	0	8	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_320	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	18	18	17	0	0	0	0
ASV_321	0	0	0	0	0	0	0	0	0	0	0	0	24	0	14	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	23	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	19	34	35	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0
ASV_324	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	8	19	0	0	0	0	0	45	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	31	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_326	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	9	10	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	9	12	13	14	19	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_327	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	12	0	5	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	0	14	10	10	0	0	0	0
ASV_328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	19	0	19	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0
ASV_329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_330	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	16	16	0	0	0	0	0	14	0	0	0	0	0	0	0	0	23	10	19	20	0	0	0	0	0	0	0	0	0	0	0	0
ASV_331	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	9	0	0	0	0	13	14	0	0	8	0	0	0	0	0	0	0	23	11	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_332	0	0	3	0	0	0	0	0	0	6	10	26	6	0	4	6	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	10	0	6	4	6	2	12	9	0	0	0	0	0	0	0	0	0	5	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_333	0	0	0	0	6	0	0	0	11	0	0	0	11	0	0	0	0	0	0	8	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	17	9	12	0	16	0	0	0	0
ASV_334	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	51	5	19	11	25	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	8	0	0	0	0	0
ASV_335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	32	11	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ASV_336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	27	10	21	0	8	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	19	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0
ASV_338	0	0	0	0	0	0	0	0	0	0	14	7	7	0	18	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	10	11	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
ASV_339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	28	40	28	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_340	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_343	0	0	0	10	5	3	4	10	0	3	8	0	7	14	9	18	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	3	5	7	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	12	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	33	45	0	0	0	0	0	0	0	0	0	0	0
ASV_346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	8	0	14	15	5	8	0	0	0	0	0	0	9	7	12	10	0	0	0	0	0	0	0	0	11	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
ASV_347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	5	9	0	16	23	9	6	12	22	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	5	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0	0	0	0	41	0	22	0	0	0	0	0
ASV_349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	20	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	45	35	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_351	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	12	25	16	10	20	13	0	0	0	0	0	0	0	0	0	0
ASV_352	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	14	18	16	13	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	15	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	44	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_354	0	0	11	19	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	5	9	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
ASV_355	0	0	0	0	8	7	0	0	9	0	0	0	0	0	0	0	0	0	0	7	0	0	4	6	3	0	0	0	0	0	0	0	0	8	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	16	14	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	6	0	0	0	0
ASV_356	0	0	0	0	0	0	2	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	4	0	3	0	0	0	2	0	0	0	0	0	0	0	4	7	6	0	0	0	5	6	5	0	3	0	0	0	0	0	0	0	5	5	5	5	7	5	4	0	13	0	12	5	0	0	0	0
ASV_357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	33	19	22	17	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	12	0	50	17	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_360	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	8	0	18	0	0	0	4	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	0	7	2	0	0	0	8	6	5	0	0	0	0	0	0	0	6	2	0	0	3	0	0	12	0	0	0	0	0	0	0
ASV_361	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
